Country,Year,Population
Australia,1997,122748894
Brazil,2024,1029769517
USA,2017,685300896
France,1990,910084088
UK,1998,1468342979
Brazil,2021,1305020589
Brazil,1993,678464409
Australia,1992,1087080751
France,1992,20201607
Germany,2019,409888048
Australia,2015,317645590
India,1996,1287828160
Japan,2020,40959307
Japan,2000,412918948
France,2014,497337460
France,2007,139161478
Brazil,2000,1039695597
China,2007,735996230
USA,2015,821329510
China,2022,908676061
Japan,2016,1220288183
Canada,2020,918796126
Australia,2020,1075126419
China,2003,704122408
Australia,2017,632770816
India,1990,730265563
Canada,2020,1300145420
Japan,2004,1400254834
Japan,1992,856361747
Germany,2009,993445936
Canada,2012,43486246
France,2024,1142420193
USA,1995,174156519
Brazil,2000,1081664294
UK,2003,748291840
China,2018,542394109
Canada,2016,1207100813
France,1998,1360505038
France,1993,571577818
Australia,2006,1343656008
India,2021,808399124
Australia,2017,1300058523
Canada,1995,1135733885
Brazil,2014,1184937464
USA,1993,237467616
Brazil,2014,698722689
Germany,2013,786246777
Germany,1996,575766205
USA,1999,442980064
UK,2015,489612978
Canada,2003,1367653405
France,2010,1295763922
China,1995,612114017
Japan,2011,1133836076
France,2010,150934156
Australia,2008,283078251
USA,2003,1041241115
Australia,2019,248316170
Japan,2020,1363551617
Canada,2014,978196973
UK,2013,1122520770
China,2014,640549768
UK,2002,500495329
China,2003,121824601
China,2021,687440581
USA,1997,1348420996
India,1992,755933116
Japan,2017,581205441
UK,1992,1205918931
Canada,1994,1279184300
Brazil,2007,731261002
Australia,1995,127748123
USA,2023,1037634774
Brazil,1997,261550316
Japan,2015,460257274
Brazil,1998,244697889
Japan,1995,227367833
India,2021,603312187
China,2012,852424285
China,2007,851521444
China,2012,656730396
Australia,2006,352351258
Canada,2000,988386672
India,2018,251780254
UK,2012,1065612713
Germany,1997,595982981
UK,2015,151750804
Australia,2003,490963400
India,1995,81394463
Japan,1993,500246851
Australia,2006,1316788488
Germany,2010,391500901
Japan,1998,1256085532
France,2023,470514904
USA,1999,794202148
Japan,2012,98866923
Germany,2010,714794050
USA,1991,195442914
USA,2014,1106362725
Germany,2000,1158429055
China,2007,827477184
USA,1995,457584215
India,2005,634288758
Germany,2003,621613782
India,2011,949756763
Brazil,2008,91318652
Germany,2017,623968550
Australia,1997,11106372
Germany,1994,402858697
France,1998,250704569
China,1995,874132047
Australia,2003,1175278827
Germany,2018,790336477
Canada,2007,810199440
China,1992,86711253
Brazil,2010,1099260511
Brazil,1990,1081549924
Japan,2008,730771167
Brazil,2008,402071720
China,2020,1322922228
Germany,2003,255079704
Australia,1994,543880864
Germany,2014,1371540856
India,1997,873598228
Brazil,2006,1497883815
China,2003,1326943843
China,1993,779647925
France,2002,7973843
China,2023,1266529343
Germany,2024,176763396
Japan,2023,738365524
UK,1998,376593546
China,1990,1335148171
India,2009,983100518
Germany,2023,1134702251
China,2022,937637754
Canada,2017,357334160
Germany,2018,477844277
France,1992,1096577779
USA,2010,1313943783
China,1998,9808556
France,2014,1233494917
India,2006,1339604006
Canada,2019,915922318
Brazil,2002,941714007
India,1999,1390148475
Canada,2008,447804424
China,2018,1096835082
Australia,2005,946502473
China,2022,52256260
USA,2007,967400029
Japan,2014,825648123
Japan,2015,434606241
UK,1990,1388289871
India,2009,1102899897
Canada,2019,962698409
USA,2011,600715931
France,1999,704970222
Brazil,1994,679086961
India,2013,356554193
India,1995,790910246
Australia,1993,419141588
Australia,2005,790173523
France,2015,565599310
Japan,2009,347861496
Japan,2013,762553821
UK,2009,1015121223
India,2020,639663012
China,1999,1404373123
Germany,1991,415380496
Canada,1994,1363247920
USA,2010,243761807
France,2002,1254694774
China,1999,380483197
UK,2019,122759400
Brazil,1998,828696537
India,2004,141906239
India,2014,1157427288
China,1997,1063031441
Japan,2013,1466227549
USA,2002,305734149
Japan,1993,911792093
Canada,1997,922561568
Brazil,2012,1282281665
India,2014,1139677449
Canada,2020,1401811701
Canada,2012,379069482
Japan,2020,1126743236
Canada,1997,1107617655
Brazil,2011,575064575
Australia,1992,556627988
Germany,2019,886308112
Australia,2015,361573746
USA,2005,1348401464
France,2022,54406058
Brazil,2014,163783151
Germany,2018,1292833751
Canada,1998,1303120133
Japan,2013,1271645539
Canada,2018,1203873622
Japan,2007,45078972
Australia,2001,772178234
China,2005,1345165822
China,1997,1111681073
Brazil,2007,802796883
France,2011,538464814
China,1996,1083180653
China,2015,927699079
Japan,1996,1054404967
Japan,2014,613105056
Japan,2007,158173806
China,1990,37016415
India,2018,599227447
France,2019,267383745
Canada,2021,537072622
China,2023,456998259
India,2013,972947914
France,2024,571543031
Germany,1997,1209723772
UK,2015,115432311
China,2006,580896927
Germany,2012,546400407
UK,2000,141941357
Germany,2010,618407767
USA,2013,892688781
Brazil,1994,424264710
Germany,2009,710637894
Japan,2004,315820818
USA,2015,46362310
UK,1993,1358119101
Canada,2002,1315121174
China,2015,1471234662
Germany,1992,969335141
India,2015,6967470
Canada,1999,1138313980
China,2005,197099315
UK,2017,1233628775
France,2024,82911950
USA,2009,123948057
Germany,1999,290569976
China,1992,1491773479
Japan,2019,1245768138
UK,2019,609105202
Germany,1998,680041865
India,1992,1233535735
USA,2017,649826903
Australia,1993,62211154
Canada,2021,82851853
Germany,2007,1140721012
France,2005,793865689
France,2013,237152562
Australia,2016,215150129
Canada,2013,532654615
Canada,2011,530830330
UK,2001,434209398
Australia,1995,524048054
Canada,1993,881471743
Canada,2016,103393347
Japan,2000,163540986
UK,2016,210675284
Australia,2008,356463275
China,1990,346728384
USA,2004,475335901
Australia,2013,1085633561
France,2008,1470409739
Canada,2012,917055626
China,2017,211132895
UK,2020,1056693800
France,2016,255571683
UK,2003,175560014
Japan,2019,276989845
USA,1990,394179201
UK,2022,667400010
China,1990,311965375
China,2008,1355060302
France,1997,795729790
UK,2010,529749429
UK,2021,1207056585
Japan,2018,1236213167
UK,1994,925352772
USA,1996,1076035102
China,1995,350134086
India,2012,1501131444
Australia,2014,894093485
Brazil,2014,518610130
Japan,2003,332157938
USA,2019,354415294
USA,2020,1468866085
India,2021,32931308
France,2002,344627570
India,2021,157323315
India,1997,960559145
UK,2015,682070960
India,2000,1150973184
India,2002,120678695
Canada,2020,199988281
Australia,2006,1080897217
Germany,2005,1269320182
UK,2018,439358818
Australia,2005,175940987
France,2008,859738511
China,1997,1468319435
France,2015,1454739981
Brazil,2015,829406621
Canada,2024,47262580
Canada,2002,571378380
Brazil,1999,452367086
Brazil,2022,139592834
Australia,2000,818817401
USA,2009,324378511
India,2006,125078008
China,2001,918827553
Germany,2017,1108955500
France,2012,16988511
France,2017,666889778
Japan,1998,890003988
Germany,2007,95316769
Australia,1998,427033874
China,2008,1331114197
China,2005,1465903968
Canada,2009,1022711956
Brazil,1998,1179575728
China,1991,451005178
USA,2024,329437116
USA,1993,657466763
France,2024,327335452
Germany,2006,399880775
UK,1997,375912080
Japan,2012,63671993
Japan,2002,72821283
India,2004,456018488
Germany,2022,1347676678
UK,1998,824197650
Japan,2008,326613086
India,2013,409092656
Japan,1999,696153766
China,2022,588939479
UK,2007,669281806
Canada,2002,1426044015
India,2012,814822690
Brazil,2007,337554098
India,2015,598396094
France,1995,89400411
France,2000,1150828795
France,2024,755439422
Japan,2000,861307767
China,2024,1514935267
UK,2018,1412900498
France,1993,653737359
Germany,2024,1161899651
India,2020,67062751
Australia,2016,223337936
France,2006,1330055675
Germany,2019,1409893605
Australia,1995,1052889201
France,2022,200943137
UK,1997,1518457747
Australia,2010,6008608
France,2003,575498094
Brazil,2007,1373146118
Canada,1990,1426441138
Canada,2011,821177516
Australia,2019,653773252
France,2021,945175784
Germany,2014,1088481512
USA,1993,1083043729
Australia,2022,469600441
USA,1995,180521626
Germany,2024,1340701251
UK,2008,1404689318
France,2017,848705065
Germany,1994,114916275
USA,1996,822213279
UK,2019,865457660
Australia,1993,1411405254
France,1993,1313340995
USA,2008,973056767
France,2006,275027946
USA,1994,626402261
China,2008,480610891
USA,1994,449291569
India,1991,465761247
Brazil,2011,1208298561
Canada,2021,1082013386
UK,1990,279361346
India,2020,751758523
Germany,2024,699429416
Germany,2001,638822032
India,2017,587677134
Japan,1995,989866407
UK,1996,493795853
France,2003,1231978703
Japan,1995,96262995
USA,1994,1081166481
China,2023,880050256
Australia,1995,1353763632
France,2023,1132444973
Germany,2010,303858122
Japan,1995,1019247078
Canada,1993,165281074
UK,2009,49435280
China,2011,598652592
China,2023,263473721
Germany,2010,614740453
India,1994,597879370
China,2012,1075070527
Germany,1991,748320410
Japan,2023,1412078309
USA,1996,1453031913
UK,2021,710299297
France,1990,473466011
India,2023,934025829
Brazil,1999,1446161310
Brazil,1996,1326794547
China,2008,733529276
Australia,1994,560335223
France,1996,139289728
Germany,1990,1225103528
USA,2008,957527444
USA,2004,1391651927
Australia,1998,1408408477
China,2004,1145722184
Canada,2023,445301013
USA,1990,1508518966
Canada,2009,1096871353
India,2022,1034821153
Australia,2009,1308511064
UK,1992,83757107
Australia,2023,270255276
China,1996,1375567100
China,1994,387490848
France,2007,674585465
Germany,1992,1027507372
USA,2018,283933192
India,2012,652269362
Germany,2002,1183935585
USA,1992,1045661144
Australia,2003,618127996
Japan,2013,1177697532
India,2001,864073519
Japan,2018,232830951
USA,2005,203991968
Australia,2011,109603366
India,2002,354919266
Australia,1998,557468549
Japan,2012,227632063
China,1995,1469117913
USA,2002,84417095
UK,2021,176801619
Germany,2022,812219743
Germany,2013,12633760
China,1994,1375525966
France,1995,897208262
India,2021,1393248911
China,2021,1164190579
Australia,2002,646422464
China,2022,48181239
USA,2002,1317990502
China,2020,1076069727
UK,2020,427333576
Brazil,2011,777970387
Germany,1999,63589357
Japan,2012,433534205
Australia,2016,153532990
India,2013,1369768561
Germany,2018,1248591843
Brazil,2000,1192312604
China,2022,354847147
China,2022,494033438
Brazil,2001,184464940
China,2007,990517287
India,2014,739246802
Japan,1993,267209129
Australia,2016,1300917548
Japan,2005,1162874281
USA,2009,856685348
Canada,2020,889712400
Japan,2004,171244929
USA,1992,1284466850
Japan,1991,1025069975
India,2023,586194680
France,2011,614088975
Australia,2024,1044531959
UK,2021,305671736
Canada,2024,1219946197
France,1997,1457909326
Canada,2007,59266175
Canada,1991,283994625
Japan,1995,324536741
Australia,1992,1367396112
Germany,2010,854218321
Brazil,1994,877436680
China,2006,645032247
UK,1995,789556550
Canada,2024,681645203
Brazil,2016,1311966985
USA,2022,905535326
Japan,2020,770793329
Australia,1999,283430796
Brazil,2014,987845321
Australia,1997,963428167
Canada,1996,218758847
China,2003,161918157
France,2014,656484485
Brazil,2002,558873877
Australia,1991,1513759521
UK,2003,537949954
USA,2015,1400262007
Japan,2009,667206527
Australia,2010,701989961
Australia,2000,498899513
Japan,1995,1351720950
India,2005,1247046623
Australia,2022,167189337
Germany,1998,1395722193
Australia,2019,633715949
Australia,2003,932920356
Japan,1995,200552515
Japan,2019,959384979
France,2020,824471503
Australia,2015,844196970
India,2021,1262318388
Brazil,1994,242455959
Brazil,2016,1151867813
India,2019,1428309245
Brazil,2003,102022331
France,2012,1440454207
USA,2008,698026293
Canada,2020,328876897
Canada,2011,1145887293
Germany,2016,1187356152
Japan,2007,1239836177
Germany,2013,883560464
Australia,2012,753284955
Canada,2001,1477976073
USA,1991,1513688865
China,2012,1325893889
Brazil,2004,827540853
Australia,2001,379401309
France,2000,889052012
USA,2010,1439998007
China,2004,1392157306
Germany,1991,1247308000
Germany,2010,1338529555
China,2023,1362465363
France,2014,376875316
UK,1992,1140364008
Germany,2019,118992875
Germany,2010,454648543
India,2005,1178858769
UK,2011,625903841
UK,2013,279696940
China,2017,906129083
Germany,2012,130667488
Japan,2023,536849672
India,2007,1342443024
UK,1992,243982968
Japan,2003,484584859
Japan,1998,977840794
Canada,2021,257947191
Brazil,2009,1003723902
UK,2003,1453184063
Brazil,2009,862812537
India,2022,584914250
Germany,2015,750769572
Japan,2020,580464379
India,2004,1150767001
France,2024,1473261876
India,2014,204582880
China,2002,1496556344
Canada,2005,95913194
UK,2005,571673801
UK,2007,752911699
Japan,1999,675523920
Germany,2011,1313443308
USA,2012,1068541957
France,2014,1439150692
India,2002,1188143981
Australia,1992,1413824143
Germany,2000,194430756
India,2003,638661682
India,2010,744246736
Australia,2008,761039138
Germany,2006,143189794
India,2001,854514748
Brazil,2006,596087493
Canada,2006,1199710188
USA,2024,1170432194
India,2018,182568858
Brazil,1992,1368683538
Brazil,1993,1365131493
Canada,2007,367325924
Brazil,1996,1179983258
Germany,2007,216541907
Japan,2017,70075373
India,1995,107642611
Australia,1996,1354245748
India,2009,1138615710
India,2020,355173577
Brazil,1997,62918444
Germany,2024,739646627
France,2011,179806677
Australia,1997,456493059
UK,2016,1411500639
Germany,2004,1062089050
Australia,1996,1047344581
Germany,1994,933871159
Brazil,2009,781719567
France,2005,602061244
USA,2023,1107177685
USA,2024,68689518
Japan,1996,108697490
China,1993,826237591
Japan,2020,119186235
India,2024,567600332
Japan,2013,1507969178
UK,2002,445888440
Canada,2024,734745053
USA,2019,672141061
Germany,2000,60155910
Germany,2015,1366469090
USA,2005,909119033
USA,1992,1514413854
France,1999,360330903
India,2007,1432110748
China,2003,954220456
Germany,2016,612185817
Australia,2006,1202020114
Canada,1992,663082359
USA,1992,989899671
Germany,1995,1447647307
France,2010,1441218094
France,2024,1196584237
Australia,1993,1257905463
Canada,1994,1451800301
Brazil,1994,113769108
Brazil,2013,1112105701
France,2001,675557990
Germany,2012,563742825
Brazil,1993,691874230
Brazil,1990,1123059030
Australia,1996,229134155
Japan,2002,694192451
UK,2011,979134017
USA,2024,1125630679
Canada,2021,1417832336
China,2005,805044786
Japan,2018,797128028
India,2016,1178563475
Germany,2001,810999122
China,1994,146534435
France,2015,1477593724
Brazil,2015,1438887788
Germany,2006,734877666
Brazil,2002,606371987
USA,1999,783497797
Germany,1997,186375532
Brazil,2006,611519895
Japan,2019,1235060377
India,2009,206747848
France,2011,800445505
Canada,2024,579683010
France,1996,1023275550
China,2001,1410139422
India,2017,772543052
Australia,2012,1441815175
Canada,2005,521425020
USA,1997,830252864
USA,2022,676110335
Canada,2006,383713819
France,2005,1288012043
USA,2011,51462913
Australia,2023,584148093
UK,1997,350064440
China,1999,43907225
Germany,1997,784032463
France,2014,959213019
Germany,1994,93361297
Germany,1993,297414676
Brazil,2016,1383770938
Australia,2019,1518408593
China,1997,625438142
China,2006,1417799728
Japan,2009,1467666146
China,2023,202225296
China,2012,521043798
USA,2015,847762705
Japan,2023,834957664
UK,2021,1378184657
USA,1994,797451983
USA,2019,1377151555
China,1992,612872811
India,1992,82229664
Japan,2004,1118415908
China,2000,1272288036
Australia,2008,958368598
Brazil,1998,506324606
Brazil,2003,204165226
Japan,2016,186142436
India,2010,1519469205
China,2009,985971226
China,2014,762828774
Japan,1992,75820766
Australia,2002,1475566878
Australia,1991,1424515345
Japan,2019,597533054
China,1998,733149808
China,1994,239018913
USA,2003,868437606
UK,2010,898336379
France,1991,1249493381
Japan,2009,161368083
Germany,1998,245942463
Canada,2023,519421113
USA,2011,110193380
Germany,2013,804662917
Brazil,1995,484367908
USA,2004,728619292
France,2003,218226882
UK,2003,1242981725
France,2006,1414527149
Germany,2007,1355800497
UK,2004,1319972602
Brazil,2009,1305255067
Germany,1993,1231437245
UK,2004,903304467
Germany,2008,770002881
India,1992,57335643
India,1995,322713580
Australia,2009,736547680
Canada,2000,192735617
UK,2005,1185809267
France,2022,584251632
Brazil,2011,224373438
China,2005,547249723
Germany,2020,586185960
India,1994,297026891
UK,1997,838863540
India,2021,506874393
Australia,2015,1495293081
Japan,1991,1099110086
Japan,2006,1211831378
Canada,1999,346527167
UK,2015,481734674
India,2010,250345310
USA,1993,559024347
Germany,1994,325221981
USA,1990,183409378
Australia,2008,1284760228
Brazil,1999,833218927
Japan,2003,1474175815
Germany,2000,1354476847
Brazil,2010,1063152423
UK,1992,230088736
India,2012,1518068638
India,2022,1060295962
Australia,1990,123109116
Japan,1992,1309363038
China,2023,1167646128
China,1994,1429709803
Brazil,1993,975552267
France,2009,1200769553
India,1990,168486527
France,2010,37783861
Germany,2015,915231733
India,2002,284978717
Canada,2008,169191628
Australia,2016,67153918
Japan,1999,1053488870
Japan,2014,681630873
UK,2004,558341736
USA,2015,347154296
USA,1997,1218330217
France,2008,170672798
Australia,2013,168378674
USA,2020,940109199
Canada,2009,749763850
Canada,1999,184728026
China,2003,1286492523
Japan,2015,994274828
Germany,2020,835938242
Germany,1997,1199651558
USA,2006,310450932
Japan,2024,168025444
France,2015,1407256915
Germany,1990,1521567648
Japan,1993,1092641986
France,1993,557083714
India,2001,1063062281
Australia,2002,1271649427
UK,2000,77614871
France,1994,1478088487
France,2024,1366806486
Australia,2019,1229277828
Brazil,2014,908950531
UK,1992,38358804
France,1999,565200922
Australia,2000,88459167
Japan,2003,1168088392
Brazil,2017,886879541
Germany,2014,60149452
USA,2005,1144448014
UK,2024,282606311
USA,1998,983899827
UK,2014,637235995
UK,1990,348049669
USA,2000,809289147
Canada,1998,1400462491
Japan,2013,413711946
UK,1991,300486118
Brazil,2004,1010287361
China,2015,869196584
Japan,2014,14719549
Brazil,2010,22306994
Brazil,2017,392046701
India,2018,920839642
Japan,1997,330060194
Australia,2020,665529448
Japan,1993,1000604288
Australia,2019,774945551
USA,2009,1355783525
Brazil,1991,99867120
USA,2010,1085983183
Japan,2001,1054966849
Japan,2004,873459430
Germany,2015,103108067
Australia,2016,67536635
UK,2003,153972386
France,2003,1480256376
Australia,2024,342817578
Japan,2018,375115388
Japan,2003,328979526
UK,2024,903055539
India,2013,807162563
Brazil,2024,321039502
India,2023,1286137759
USA,2007,807290396
Canada,2016,166530068
Canada,2003,371678047
USA,2007,590044133
Brazil,1996,1489056121
UK,2023,900107767
Canada,1999,133601427
Brazil,1990,201061080
Canada,2020,147001127
Brazil,2007,497836330
Japan,1995,193858973
India,2021,457367924
Brazil,2008,1209092364
UK,1999,1231243985
Australia,1992,1422479176
Canada,1995,61773453
France,2012,396915647
Canada,2001,290371162
UK,2017,55128728
UK,2010,85967088
Australia,1994,984498962
Brazil,2024,157164905
Brazil,2004,16291920
China,1998,1495044402
UK,2014,675881910
Australia,2005,1206560217
USA,2009,814450091
Germany,2002,1124860640
Australia,1994,958285243
China,2020,554682331
Japan,1999,966277534
China,2010,218527723
USA,2019,563828434
Canada,1998,1304940238
USA,2006,169370612
Germany,2005,1245135131
Canada,2020,407205096
Brazil,1994,1469985753
USA,1995,1479703470
USA,1998,756264042
India,2013,18978961
France,2024,457182549
Canada,2007,699698093
China,2001,1456049131
France,2008,1496649893
China,2017,1101011358
Brazil,2012,707140956
France,2018,261616101
France,2020,890407923
Australia,2012,642958081
China,1995,1126996255
USA,2019,152881488
USA,2024,206946630
Japan,1999,751566199
China,1999,1190088814
Brazil,2012,271068561
France,1991,352693749
Japan,1998,860833497
Australia,2022,1147720989
Canada,2021,287838460
USA,1995,229991636
China,2012,1079202016
France,2022,1062553464
USA,1999,365565070
China,2017,1046493218
Brazil,2016,1112813427
Germany,2014,747342335
China,2008,895806323
Australia,2004,450334173
Canada,2007,1154575034
Australia,2019,146425903
Australia,2011,55740474
France,2004,583912219
China,1992,828746597
France,1997,1427260554
USA,2011,1171222466
India,1999,194421571
China,1993,1312671934
Canada,2020,637353845
Germany,2005,633598145
China,1997,760418969
Australia,2003,802086030
Australia,2002,1323904897
France,2000,377925564
Germany,2010,154184969
France,1990,833078990
Germany,2005,612032861
Germany,1999,828809000
Canada,2009,625935433
India,2011,706246281
Australia,2018,576440999
UK,1995,362840054
Germany,1995,1057133221
Canada,2004,1043195013
Australia,2013,756414156
Australia,2011,657726547
Germany,1997,76991825
USA,1993,405771836
Australia,1990,828977545
Canada,2023,845941599
India,1990,858675497
China,2004,612143767
France,2022,18170045
USA,2019,505020218
Australia,2001,980927121
Japan,2003,190110465
USA,2017,333980824
Brazil,1997,744299834
France,2014,530782981
Australia,2016,907871012
UK,1995,1319112995
Japan,1996,419931098
USA,1998,458430719
Germany,2020,599816569
China,2015,676157042
Canada,1997,401969231
Germany,2012,1345388171
Brazil,2016,750402848
Canada,1997,432492453
Australia,1991,254268149
USA,2020,714363638
Canada,2014,999173188
Australia,2021,303917041
Germany,2009,365965965
France,1995,1136755025
Japan,2007,41466414
Germany,1993,1419721458
Canada,1998,472331249
China,2007,420215149
Brazil,1999,157344776
France,2022,477361305
UK,2001,965030556
Canada,1997,624827435
India,2017,916301411
UK,2008,1504579154
Canada,1996,130104426
Germany,2000,650031206
Australia,2023,123804201
France,2007,1366664060
Japan,2002,1406194224
Japan,1999,511154884
Australia,1996,938014100
India,2024,361020799
Canada,2016,996936917
Japan,2006,1120316764
China,2001,489727636
France,2008,430157218
Australia,1998,929068771
China,1992,786103735
France,2007,439689967
India,2004,1461987501
UK,2001,1373990715
France,2009,1437335063
USA,2024,1299034362
India,2004,1074359353
China,2002,867692918
USA,2002,1238783966
UK,2024,475623719
India,2000,1318818457
UK,2014,919376583
Brazil,1995,1171732648
France,2018,108119020
India,1997,259662563
USA,1992,761251282
Australia,1992,97649042
Japan,2003,50305401
UK,2015,384562747
Brazil,2006,52681718
Australia,2002,956052544
Germany,2023,871897197
China,1991,1227973032
France,2003,1393265625
UK,1997,1388435675
Brazil,1991,885948173
USA,2017,393841293
France,1997,97828326
France,1996,828801131
USA,2008,684877933
UK,2014,1312417958
Japan,1994,764878588
China,2004,383179288
Australia,2006,157770460
Brazil,1990,255094238
Germany,1997,1334761151
Germany,2017,1254825209
UK,2024,1038297729
Brazil,1995,1478789678
Brazil,2017,31398311
UK,2001,845855776
India,2012,65858980
USA,2011,816332411
Brazil,2000,240804822
USA,1998,462785126
UK,1995,345891760
Brazil,2009,81542873
USA,2016,196111044
China,2001,914678822
Japan,2023,811743698
Brazil,2016,1335716671
China,2003,1295974511
UK,2005,651729967
Australia,2006,79116484
USA,2004,1393952469
Brazil,1991,628980504
Australia,2017,754039232
Canada,1998,802861440
Japan,1991,291396932
USA,2019,737918410
France,1999,673475459
Japan,2012,593464858
France,1990,671106265
Canada,2016,515620185
Australia,1993,1264036420
Japan,2018,7423279
France,2009,1087938666
China,1999,1222492241
UK,1994,678075067
USA,2024,789145712
France,1994,512180448
Australia,2008,177292072
Australia,2003,1065207192
Canada,1996,961198417
UK,2018,1489892014
China,2022,1443395391
Australia,1991,846739175
Germany,2000,1065108677
Canada,1993,284553166
Canada,2000,546158871
Australia,1995,1472563511
India,2013,574747137
Germany,2006,663343968
USA,1990,211916814
USA,2004,1434065036
India,2009,191134972
China,2000,710060788
France,1993,1199359089
UK,2009,1485947632
Germany,2002,132014523
China,2005,1117114404
Japan,2015,1239777300
Japan,1998,222003480
France,2017,1008753760
UK,1999,92397075
Germany,2007,731927632
France,2000,1206041795
Japan,2008,256502281
UK,1996,835204017
Australia,1991,867967170
UK,1993,1436165314
India,1991,145930385
Brazil,2000,335188546
Japan,2024,1461058542
Australia,2008,1171495281
France,2018,625938506
India,2013,1425588681
Germany,1993,731657731
Japan,2005,997778246
Germany,1999,56738668
USA,1992,745258112
Japan,2014,744127601
Germany,2010,1156886116
UK,1997,949522115
Germany,1995,60699900
Australia,1997,220172740
UK,2018,311897985
Japan,2023,1512705949
USA,2013,1169808203
Canada,2020,916307867
USA,2015,637140487
India,2015,550957887
Japan,2007,1219552952
UK,2014,181852622
USA,1990,1484270349
Germany,2013,1420326213
USA,2004,856837369
USA,2022,1426166534
India,2003,942383043
USA,2014,688710323
India,2000,936113120
UK,2015,569166799
China,1998,1408942081
UK,1998,639267242
Australia,2009,1241760687
Australia,1998,1330941157
Germany,2017,796134145
Brazil,2020,505125386
Brazil,2021,1518217468
Germany,1992,679397437
France,1997,1089270140
Brazil,1990,1224033282
France,2003,143127691
India,2002,1064305584
UK,2006,224888851
Canada,2022,1313004066
France,2022,458336632
France,2002,650195926
China,2007,567301682
UK,1998,1418518266
France,1995,546982895
USA,2018,898605039
UK,2017,523258938
Australia,2010,480251852
Australia,2009,726792859
USA,2000,1241358438
USA,2014,186357070
Canada,2016,412141008
China,2015,265489137
France,1999,187189566
France,2009,889312427
Australia,2017,842928583
USA,2000,67471576
Canada,2000,1431234686
UK,2004,1473018380
Japan,2024,1380075408
UK,1995,53425100
Germany,1999,297955872
Germany,2005,321147748
China,1995,860541583
Brazil,2013,1022886606
USA,1994,98573142
Japan,2012,214842489
Germany,2018,1184912127
France,1992,1294204494
France,2010,1098112069
Brazil,1998,570973163
Brazil,2001,1481396198
India,1995,283043600
Brazil,2006,501313200
France,2007,120286643
UK,2023,368237788
Australia,2002,1496785382
India,2001,743465226
France,2022,457450359
UK,2015,491826417
Brazil,1999,839838931
Brazil,1991,1354500776
Germany,2011,1414420199
Brazil,1992,1518924253
China,2018,179974510
Germany,2001,827495760
Japan,2004,1092583440
USA,1999,1332378481
India,1995,1296996155
Brazil,2006,256171557
China,2003,1031406694
Canada,2006,399456898
USA,1991,707466053
China,1991,652609089
Canada,2002,258478143
Japan,1997,824285882
France,2013,466126443
India,2017,616245846
USA,2003,818299462
India,2019,249974604
Germany,1994,1368031946
UK,2000,487716916
UK,2007,1404152943
Brazil,2018,274908943
Brazil,2004,158533083
Canada,2017,1010309361
UK,1995,906875802
India,1997,69136497
Australia,1992,688899366
USA,2012,404761048
China,1990,922146572
India,2024,1240798413
France,2003,159128436
India,1996,1247159362
Australia,2023,1311411770
UK,2002,1071710428
UK,1992,758769921
India,1993,887173165
USA,2001,100940147
Canada,2016,736086323
UK,2003,1350199132
USA,1997,276333449
Germany,2001,1208733399
Brazil,1990,1305928131
Brazil,2003,1319595688
China,1996,122198483
UK,2009,1281837307
USA,2000,1168384010
India,2020,531134714
France,2015,1426322973
USA,2001,1036280176
USA,2011,320435742
India,1992,860133780
Germany,1994,327623835
Canada,2020,687382039
India,2024,1084454634
China,1996,905112020
Brazil,2001,494743678
China,2004,21368009
Canada,1995,328465696
UK,2000,143793794
Brazil,1990,290290891
Canada,2010,891025708
Japan,2007,497184789
Japan,1996,1248999872
Canada,2014,1308199296
China,2024,1082776317
France,2024,1503505034
France,2005,494644887
France,2016,1287766882
China,2007,158625538
Japan,1998,1218562292
China,1993,612140821
China,2013,237878726
Australia,2024,957285653
Germany,2024,1179580319
India,1993,1346911707
UK,2006,882756681
Germany,2006,140850997
Brazil,2005,1516374455
India,1999,1021083591
Australia,2014,1422463019
Canada,2013,1488265486
China,1990,473203272
Germany,1991,503327843
Japan,2005,767783341
India,1996,116934012
Canada,1999,574519745
France,2012,1450383647
India,1998,723390034
UK,1990,884724281
Japan,2007,1087023696
Japan,1998,344567802
UK,2014,1403644090
Germany,1996,1167234385
Brazil,2001,115802452
Canada,1999,1183610211
Germany,2008,1033853624
Canada,2004,870261667
Australia,2016,1324081422
India,2013,1300338788
Brazil,2012,426715412
UK,1993,863037138
Australia,2023,79045070
Canada,2004,145416275
Germany,2021,249563395
Brazil,1995,804587448
USA,1999,667428236
Canada,2022,1389637152
Australia,1993,1320421046
France,2007,1368608575
UK,1993,861011499
Japan,2001,20590134
India,2012,1137572556
USA,2006,434686327
Canada,2022,512209291
USA,2011,510313836
UK,1992,782601364
USA,2009,1174376283
China,2012,362907957
France,2011,381683361
Australia,2015,537963604
India,2013,523451739
France,2006,10220011
Brazil,1991,513488089
UK,2002,128550550
Germany,1994,469417366
Germany,2023,194147785
China,2009,224402335
UK,2001,1032324672
Canada,2017,441227382
Germany,2023,412654084
USA,2015,151098986
India,2017,1108807125
India,2022,1046052761
France,2023,887798012
China,2004,1183046398
France,2012,171551522
UK,2008,224119448
UK,2012,1123054835
USA,1995,212680223
Australia,1997,1114832263
India,2024,32297284
UK,2011,309934463
UK,2007,1104871781
Australia,2016,791386694
UK,1990,899849054
Canada,2019,496805453
India,1992,624796714
